Product_id,Brand Name,Product Name,Image URL,Selling Price,MRP Price,Discount Percentage,Rating,Comment / Review Count,Listing Type,Source Page
17824064,Puma,Wave Flip Flip-Flops,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/26/nLERKggY_696a03854cc0480182e1dc153c4a24d2.jpg",899,1999,55%,4.3,17.1k,AD,Brand
35360811,Puma,Academy Portable Bag,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/4/nVYFFFzd_a5aefca6cb6c472992bd7c93890e933a.jpg",649,1299,50%,3.6,169,Oragnic,Brand
36653150,Puma,Men Outdoor Sports Shorts,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/3/vJ7fEuBs_1fe02975ca0949dc8be252f54a93778a.jpg",869,1499,42%,4.3,100,Oragnic,Brand
32380417,Puma,Cricket Strike Men Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/27/NR7TQKiE_04fef9ee0c044c52872383e89d6410f5.jpg",2024,4499,55%,4.4,955,AD,Brand
25815666,Puma,Leather Embossed Wallets,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25815666/2023/11/9/4271a29c-059d-4828-8a25-b488676db49d1699534368513PUMALeatherEmbossedWallet1.jpg",799,1999,60%,4.4,778,Oragnic,Brand
36513870,Puma,Essentials Knitted Sweatpants,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/21/GgMQZVWh_6177dbf7cb4a45caa94c409d6f5ed02d.jpg",839,2799,70%,4.6,655,Oragnic,Brand
15312354,Puma,Galaxy Comfort Men Flip-Flop,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/26/zHwrIjN5_94322caa094a4851aef70695c790159d.jpg",999,1999,50%,4.1,6.1k,AD,Brand
35220689,Puma,Women Stride Lite Running Shoe,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/35220689/2025/7/21/009424f7-4bdd-41be-957b-12ab2ae31b451753091095866-Puma-Stride-Lite-Womens-Comfortable-Running-Shoes-1175309109-1.jpg",2099,5999,65%,4.4,73,Oragnic,Brand
34536443,Puma,Women Softride Vital Move Shoe,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/29/Kfn9JRNd_cd950044af4f43f9b7099324da54dc9b.jpg",1854,5299,65%,4.5,153,Oragnic,Brand
27953916,Puma,Court Shatter Low Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/26/3vRwqirM_e8f995157389456ab69372ecdbece247.jpg",2579,5999,57%,4.5,12.6k,AD,Brand
